Survived,Pclass,Sex,Age,FamilySize,IsAlone,TicketGroupSize,FarePerPerson,Deck,has_cabin,Title_Miss,Title_Mr,Title_Mrs
1,3,0,14.0,2,0,2,5.62085,0.0,0,True,False,False
0,3,0,40.0,2,0,1,4.7375,0.0,0,False,False,True
0,2,0,27.0,2,0,2,10.5,0.0,0,False,False,True
0,3,1,28.0,1,1,1,7.8958,0.0,0,False,True,False
1,2,0,3.0,4,0,3,10.3948,0.0,0,True,False,False
1,3,0,19.0,1,1,1,7.8792,0.0,0,True,False,False
0,3,1,28.0,1,1,1,8.05,0.0,0,False,True,False
0,3,1,28.0,2,0,1,7.75,0.0,0,False,True,False
1,3,0,28.0,1,1,1,7.75,0.0,0,True,False,False
0,3,1,28.0,3,0,1,7.226400000000001,0.0,0,False,True,False
0,3,0,18.0,2,0,2,8.9,0.0,0,False,False,True
0,3,1,7.0,6,0,6,6.614583333333333,0.0,0,False,False,False
0,3,1,21.0,1,1,1,7.8,0.0,0,False,True,False
1,1,0,49.0,2,0,3,38.3646,4.0,1,False,False,True
1,2,0,29.0,2,0,1,13.0,0.0,0,False,False,True
0,1,1,65.0,2,0,1,30.9896,2.0,1,False,True,False
1,1,1,28.0,1,1,1,35.5,3.0,1,False,True,False
1,2,0,21.0,1,1,1,10.5,0.0,0,True,False,False
0,3,1,28.5,1,1,1,7.2292,0.0,0,False,True,False
1,2,0,5.0,4,0,3,6.9375,0.0,0,True,False,False
0,3,1,11.0,8,0,6,5.8625,0.0,0,False,False,False
0,3,1,22.0,1,1,1,7.2292,0.0,0,False,True,False
1,1,0,38.0,1,1,2,80.0,2.0,1,True,False,False
0,1,1,45.0,2,0,2,41.7375,3.0,1,False,True,False
0,3,1,4.0,6,0,6,4.65,0.0,0,False,False,False
0,1,1,28.0,1,1,1,27.7208,0.0,0,False,True,False
1,3,1,28.0,3,0,2,5.081933333333333,0.0,0,False,False,False
1,2,0,29.0,1,1,1,10.5,6.0,1,False,False,True
0,3,1,19.0,1,1,1,8.1583,0.0,0,False,True,False
1,3,0,17.0,7,0,1,1.1321428571428571,0.0,0,True,False,False
0,3,1,26.0,3,0,1,2.8875,0.0,0,False,True,False
0,2,1,32.0,1,1,1,10.5,0.0,0,False,True,False
0,3,0,16.0,8,0,6,5.8625,0.0,0,True,False,False
0,2,1,21.0,1,1,5,73.5,0.0,0,False,True,False
0,3,1,26.0,2,0,1,7.2271,0.0,0,False,True,False
1,3,1,32.0,1,1,7,56.4958,0.0,0,False,True,False
0,3,1,25.0,1,1,1,7.65,6.0,1,False,True,False
0,3,1,28.0,1,1,1,7.8958,0.0,0,False,True,False
0,3,1,28.0,1,1,1,8.05,0.0,0,False,True,False
1,2,1,0.83,3,0,2,9.666666666666666,0.0,0,False,False,False
1,3,0,30.0,1,1,2,12.475,0.0,0,True,False,False
0,3,1,22.0,1,1,1,9.0,0.0,0,False,True,False
1,3,1,29.0,1,1,1,9.5,0.0,0,False,True,False
1,3,0,28.0,1,1,1,7.7875,0.0,0,True,False,False
0,1,1,28.0,1,1,1,47.1,0.0,0,False,True,False
1,2,0,17.0,1,1,1,10.5,0.0,0,True,False,False
1,3,0,33.0,4,0,2,3.9625,0.0,0,False,False,True
0,3,1,16.0,5,0,4,6.875,0.0,0,False,True,False
0,3,1,28.0,1,1,1,8.05,0.0,0,False,True,False
1,1,0,23.0,6,0,4,43.833333333333336,3.0,1,True,False,False
0,3,1,24.0,1,1,1,8.05,0.0,0,False,True,False
0,3,1,29.0,1,1,1,8.05,0.0,0,False,True,False
0,3,1,20.0,1,1,1,7.8542,0.0,0,False,True,False
0,1,1,46.0,2,0,1,30.5875,5.0,1,False,True,False
0,3,1,26.0,4,0,2,5.14375,0.0,0,False,True,False
0,3,1,59.0,1,1,1,7.25,0.0,0,False,True,False
0,3,1,28.0,1,1,1,8.05,0.0,0,False,True,False
0,1,1,71.0,1,1,1,34.6542,1.0,1,False,True,False
1,1,1,23.0,2,0,1,31.67915,4.0,1,False,True,False
1,2,0,34.0,2,0,2,11.5,0.0,0,False,False,True
0,2,1,34.0,2,0,2,13.0,0.0,0,False,True,False
0,3,0,28.0,1,1,1,7.8958,0.0,0,True,False,False
0,3,1,28.0,1,1,1,7.8958,0.0,0,False,True,False
0,1,1,21.0,2,0,2,38.64375,4.0,1,False,True,False
0,3,1,33.0,1,1,1,8.6542,0.0,0,False,True,False
0,3,1,37.0,3,0,1,2.6416666666666666,0.0,0,False,True,False
0,3,1,28.0,1,1,1,7.8958,0.0,0,False,True,False
1,3,0,21.0,1,1,1,7.65,0.0,0,True,False,False
1,3,1,28.0,1,1,1,7.775,0.0,0,False,True,False
0,3,1,38.0,1,1,1,7.8958,0.0,0,False,True,False
1,3,0,28.0,2,0,3,12.075,0.0,0,True,False,False
0,1,1,47.0,1,1,2,52.0,3.0,1,False,True,False
0,3,0,14.5,2,0,2,7.2271,0.0,0,True,False,False
0,3,1,22.0,1,1,1,8.05,0.0,0,False,True,False
0,3,0,20.0,2,0,1,4.9125,0.0,0,True,False,False
0,3,0,17.0,1,1,2,14.4583,0.0,0,True,False,False
0,3,1,21.0,1,1,1,7.925,0.0,0,False,True,False
0,3,1,70.5,1,1,1,7.75,0.0,0,False,True,False
0,2,1,29.0,2,0,2,10.5,0.0,0,False,True,False
0,1,1,24.0,2,0,2,123.7604,2.0,1,False,True,False
0,3,0,2.0,7,0,7,4.467857142857143,0.0,0,True,False,False
0,2,1,21.0,3,0,5,24.5,0.0,0,False,True,False
0,3,1,28.0,1,1,1,8.05,0.0,0,False,True,False
0,2,1,32.5,2,0,2,15.0354,0.0,0,False,True,False
1,2,0,32.5,1,1,1,13.0,5.0,1,True,False,False
0,1,1,54.0,2,0,2,38.64375,4.0,1,False,True,False
1,3,1,12.0,2,0,2,5.62085,0.0,0,False,False,False
0,3,1,28.0,1,1,1,7.75,0.0,0,False,True,False
1,3,1,24.0,1,1,1,7.1417,0.0,0,False,True,False
1,3,0,28.0,3,0,2,7.452766666666666,6.0,1,True,False,False
0,3,1,45.0,1,1,1,6.975,0.0,0,False,True,False
0,3,1,33.0,1,1,1,7.8958,0.0,0,False,True,False
0,3,1,20.0,1,1,1,7.05,0.0,0,False,True,False
0,3,0,47.0,2,0,1,7.25,0.0,0,False,False,True
1,2,0,29.0,2,0,1,13.0,0.0,0,False,False,True
0,2,1,25.0,1,1,1,13.0,0.0,0,False,True,False
0,2,1,23.0,1,1,1,15.0458,0.0,0,False,True,False
1,1,0,19.0,3,0,1,8.7611,4.0,1,True,False,False
0,1,1,37.0,2,0,2,26.55,3.0,1,False,True,False
0,3,1,16.0,1,1,2,9.2167,0.0,0,False,True,False
0,1,1,24.0,1,1,2,79.2,2.0,1,False,True,False
0,3,0,28.0,3,0,2,5.081933333333333,0.0,0,False,False,True
1,3,0,22.0,1,1,1,7.75,0.0,0,True,False,False
1,3,0,24.0,2,0,2,7.925,0.0,0,False,False,True
0,3,1,19.0,1,1,1,6.75,0.0,0,False,True,False
0,2,1,18.0,1,1,1,11.5,0.0,0,False,True,False
0,2,1,19.0,3,0,2,12.25,0.0,0,False,True,False
1,3,1,27.0,1,1,1,7.7958,0.0,0,False,True,False
0,3,0,9.0,5,0,4,6.875,0.0,0,True,False,False
0,2,1,36.5,3,0,3,8.666666666666666,6.0,1,False,True,False
0,2,1,42.0,1,1,1,13.0,0.0,0,False,False,False
0,2,1,51.0,1,1,1,12.525,0.0,0,False,False,False
1,1,0,22.0,2,0,2,33.3,3.0,1,False,False,True
0,3,1,55.5,1,1,1,8.05,0.0,0,False,True,False
0,3,1,40.5,3,0,1,4.833333333333333,0.0,0,False,True,False
0,3,1,28.0,1,1,1,7.3125,0.0,0,False,True,False
0,1,1,51.0,2,0,1,30.6896,0.0,0,False,True,False
1,3,0,16.0,1,1,1,7.7333,0.0,0,True,False,False
0,3,1,30.0,1,1,1,8.05,0.0,0,False,True,False
0,3,1,28.0,1,1,1,8.6625,0.0,0,False,True,False
0,3,1,28.0,11,0,7,6.322727272727272,0.0,0,False,False,False
0,3,1,44.0,2,0,1,8.05,0.0,0,False,True,False
1,2,0,40.0,1,1,1,15.75,0.0,0,False,False,True
0,3,1,26.0,1,1,1,7.775,0.0,0,False,True,False
0,3,1,17.0,1,1,1,8.6625,0.0,0,False,True,False
0,3,1,1.0,6,0,6,6.614583333333333,0.0,0,False,False,False
1,3,1,9.0,3,0,3,6.841666666666666,0.0,0,False,False,False
1,1,0,28.0,2,0,2,27.5,5.0,1,False,False,True
0,3,0,45.0,6,0,6,4.65,0.0,0,False,False,True
0,1,1,28.0,1,1,1,25.925,0.0,0,False,True,False
0,3,1,28.0,1,1,7,56.4958,0.0,0,False,True,False
0,1,1,61.0,1,1,1,33.5,2.0,1,False,True,False
0,3,1,4.0,6,0,5,4.854166666666667,0.0,0,False,False,False
1,3,0,1.0,3,0,3,3.7111,0.0,0,True,False,False
0,3,1,21.0,1,1,1,7.925,0.0,0,False,True,False
0,1,1,56.0,1,1,1,30.6958,1.0,1,False,True,False
0,3,1,18.0,3,0,1,2.6180666666666665,0.0,0,False,True,False
0,3,1,28.0,5,0,4,5.09334,0.0,0,False,False,False
0,1,0,50.0,1,1,1,28.7125,3.0,1,True,False,False
0,2,1,30.0,1,1,1,13.0,0.0,0,False,True,False
0,3,1,36.0,1,1,4,0.0,0.0,0,False,True,False
0,3,0,28.0,11,0,7,6.322727272727272,0.0,0,True,False,False
0,2,1,28.0,1,1,1,15.05,0.0,0,False,True,False
0,3,1,9.0,7,0,4,4.483928571428572,0.0,0,False,False,False
1,2,1,1.0,4,0,2,9.75,6.0,1,False,False,False
1,3,0,4.0,3,0,1,7.341666666666666,0.0,0,True,False,False
0,1,1,28.0,1,1,1,50.0,1.0,1,False,True,False
1,3,0,28.0,2,0,2,7.75,0.0,0,False,False,True
1,1,1,45.0,1,1,1,26.55,0.0,0,False,True,False
0,3,1,40.0,3,0,2,5.166666666666667,0.0,0,False,True,False
0,3,1,36.0,1,1,1,7.8958,0.0,0,False,True,False
1,2,0,32.0,1,1,1,13.0,0.0,0,False,False,True
0,2,1,19.0,1,1,1,13.0,0.0,0,False,True,False
1,3,0,19.0,2,0,1,3.9271,0.0,0,True,False,False
1,2,1,3.0,3,0,3,8.666666666666666,6.0,1,False,False,False
1,1,0,44.0,1,1,1,27.7208,2.0,1,False,False,True
1,1,0,58.0,1,1,2,146.5208,2.0,1,True,False,False
0,3,1,28.0,1,1,1,7.75,0.0,0,False,True,False
0,3,1,42.0,2,0,1,4.2021,0.0,0,False,True,False
1,3,0,28.0,1,1,1,7.75,0.0,0,True,False,False
0,2,0,24.0,1,1,1,13.0,0.0,0,True,False,False
0,3,1,28.0,1,1,1,9.5,0.0,0,False,True,False
0,3,1,28.0,11,0,7,6.322727272727272,0.0,0,False,True,False
0,3,1,34.0,1,1,1,6.4958,0.0,0,False,True,False
0,3,1,45.5,1,1,1,7.225,0.0,0,False,True,False
1,3,1,18.0,1,1,1,8.05,0.0,0,False,True,False
0,3,0,2.0,2,0,2,5.23125,0.0,1,True,False,False
0,3,1,32.0,2,0,2,7.925,0.0,0,False,True,False
1,3,1,26.0,1,1,2,18.7875,0.0,0,False,True,False
1,3,0,16.0,1,1,1,7.75,0.0,0,True,False,False
1,1,1,40.0,1,1,1,31.0,1.0,1,False,True,False
0,3,1,24.0,1,1,1,7.05,0.0,0,False,True,False
1,2,0,35.0,1,1,1,21.0,0.0,0,True,False,False
0,3,1,22.0,1,1,1,7.25,0.0,0,False,True,False
0,2,1,30.0,1,1,1,13.0,0.0,0,False,True,False
0,3,1,28.0,2,0,1,3.875,0.0,0,False,True,False
1,1,0,31.0,2,0,3,56.6375,4.0,1,True,False,False
1,3,0,27.0,1,1,1,7.925,0.0,0,True,False,False
0,2,1,42.0,2,0,2,13.5,0.0,0,False,True,False
1,1,0,32.0,1,1,1,76.2917,4.0,1,True,False,False
0,2,1,30.0,1,1,1,10.5,0.0,0,False,True,False
1,3,1,16.0,1,1,1,8.05,0.0,0,False,True,False
0,2,1,27.0,1,1,1,13.0,0.0,0,False,True,False
0,3,1,51.0,1,1,1,8.05,0.0,0,False,True,False
0,3,1,28.0,1,1,1,7.8958,0.0,0,False,True,False
1,1,1,38.0,2,0,2,45.0,3.0,1,False,True,False
0,3,1,22.0,1,1,1,9.35,0.0,0,False,True,False
1,2,1,19.0,1,1,1,10.5,0.0,0,False,True,False
0,3,1,20.5,1,1,1,7.25,0.0,0,False,True,False
0,2,1,18.0,1,1,1,13.0,0.0,0,False,True,False
0,3,0,28.0,5,0,4,5.09334,0.0,0,True,False,False
1,1,0,35.0,2,0,2,41.7375,3.0,1,False,False,True
0,3,1,29.0,1,1,1,7.775,0.0,0,False,True,False
0,2,1,59.0,1,1,1,13.5,0.0,0,False,True,False
1,3,0,5.0,7,0,4,4.483928571428572,0.0,0,True,False,False
0,2,1,24.0,1,1,1,10.5,0.0,0,False,True,False
0,3,0,28.0,1,1,1,7.55,0.0,0,True,False,False
0,2,1,44.0,2,0,1,13.0,0.0,0,False,True,False
1,2,0,8.0,3,0,3,8.75,0.0,0,True,False,False
0,2,1,19.0,1,1,1,10.5,0.0,0,False,True,False
0,2,1,33.0,1,1,1,12.275,0.0,0,False,True,False
0,3,0,28.0,2,0,2,7.2271,0.0,0,True,False,False
1,3,0,28.0,2,0,2,7.75,0.0,0,True,False,False
0,2,1,29.0,1,1,1,10.5,0.0,0,False,True,False
0,3,1,22.0,1,1,1,7.125,0.0,0,False,True,False
0,3,1,30.0,1,1,1,7.225,0.0,0,False,True,False
0,1,1,44.0,3,0,2,30.0,3.0,1,False,False,False
0,3,0,25.0,1,1,1,7.775,0.0,0,True,False,False
1,2,0,24.0,3,0,2,4.833333333333333,0.0,0,False,False,True
1,1,1,37.0,3,0,2,17.518066666666666,4.0,1,False,True,False
0,2,1,54.0,2,0,2,13.0,0.0,0,False,False,False
0,3,1,28.0,1,1,1,7.25,0.0,0,False,True,False
0,3,0,29.0,3,0,2,3.4875000000000003,0.0,1,False,False,True
0,1,1,62.0,1,1,1,26.55,3.0,1,False,True,False
0,3,1,30.0,2,0,2,8.05,0.0,0,False,True,False
0,3,0,41.0,3,0,2,6.7375,0.0,0,False,False,True
1,3,0,29.0,3,0,1,5.081933333333333,0.0,0,False,False,True
1,1,0,28.0,1,1,1,79.2,0.0,0,False,False,True
1,1,0,30.0,1,1,3,86.5,2.0,1,True,False,False
1,1,0,35.0,1,1,3,512.3292,0.0,0,True,False,False
1,2,0,50.0,2,0,2,13.0,0.0,0,False,False,True
0,3,1,28.0,1,1,1,7.75,0.0,0,False,True,False
1,3,1,3.0,7,0,4,4.483928571428572,0.0,0,False,False,False
0,1,1,52.0,3,0,3,26.55,5.0,1,False,True,False
0,1,1,40.0,1,1,1,0.0,2.0,1,False,True,False
0,3,0,28.0,1,1,1,7.75,0.0,0,True,False,False
0,2,1,36.0,1,1,1,10.5,0.0,0,False,True,False
0,3,1,16.0,6,0,6,6.614583333333333,0.0,0,False,True,False
1,3,1,25.0,2,0,1,3.8875,0.0,0,False,True,False
1,1,0,58.0,2,0,3,76.73125,3.0,1,False,False,True
1,1,0,35.0,1,1,3,135.6333,3.0,1,True,False,False
0,1,1,28.0,1,1,2,31.0,0.0,0,False,True,False
1,3,1,25.0,1,1,4,0.0,0.0,0,False,True,False
1,2,0,41.0,2,0,2,9.75,0.0,0,False,False,True
0,1,1,37.0,2,0,1,14.85,3.0,1,False,True,False
1,3,0,28.0,1,1,1,7.75,0.0,0,True,False,False
1,1,0,63.0,2,0,3,38.97915,4.0,1,True,False,False
0,3,0,45.0,1,1,1,7.75,0.0,0,True,False,False
0,2,1,28.0,1,1,3,0.0,0.0,0,False,True,False
0,3,1,7.0,6,0,5,4.854166666666667,0.0,0,False,False,False
1,3,0,35.0,3,0,2,6.75,0.0,0,False,False,True
0,3,1,65.0,1,1,1,7.75,0.0,0,False,True,False
0,3,1,28.0,1,1,1,7.8542,0.0,0,False,True,False
0,3,1,16.0,1,1,1,9.5,0.0,0,False,True,False
1,3,1,19.0,1,1,1,8.05,0.0,0,False,True,False
0,1,1,28.0,1,1,1,26.0,1.0,1,False,True,False
0,3,1,33.0,1,1,1,8.6625,0.0,0,False,True,False
1,3,1,30.0,1,1,1,9.5,0.0,0,False,True,False
0,3,1,22.0,1,1,1,7.8958,0.0,0,False,True,False
1,2,1,42.0,1,1,1,13.0,0.0,0,False,True,False
1,3,0,22.0,1,1,1,7.75,0.0,0,True,False,False
1,1,0,26.0,1,1,2,78.85,0.0,0,True,False,False
1,1,0,19.0,2,0,2,45.5396,2.0,1,False,False,True
0,2,1,36.0,1,1,1,12.875,4.0,1,False,True,False
0,3,0,24.0,1,1,1,8.85,0.0,0,True,False,False
0,3,1,24.0,1,1,1,7.8958,0.0,0,False,True,False
0,1,1,28.0,1,1,1,27.7208,0.0,0,False,True,False
0,3,1,23.5,1,1,1,7.2292,0.0,0,False,True,False
0,1,0,2.0,4,0,4,37.8875,3.0,1,True,False,False
1,1,1,28.0,1,1,1,30.5,3.0,1,False,True,False
1,1,0,50.0,2,0,2,123.7604,2.0,1,False,False,True
1,3,0,28.0,1,1,1,7.75,0.0,0,True,False,False
1,3,1,28.0,3,0,2,7.75,0.0,0,False,True,False
0,3,1,19.0,1,1,4,0.0,0.0,0,False,True,False
1,2,0,28.0,1,1,1,12.35,5.0,1,True,False,False
0,3,1,28.0,1,1,1,8.05,0.0,0,False,True,False
1,1,1,0.92,4,0,4,37.8875,3.0,1,False,False,False
1,1,0,28.0,1,1,4,110.8833,0.0,0,True,False,False
1,1,0,17.0,2,0,2,54.45,3.0,1,False,False,True
0,2,1,30.0,2,0,2,12.0,0.0,0,False,True,False
1,1,0,30.0,1,1,2,56.9292,5.0,1,True,False,False
1,1,0,24.0,1,1,2,83.1583,3.0,1,True,False,False
1,1,0,18.0,5,0,2,52.475,2.0,1,True,False,False
0,2,0,26.0,3,0,1,8.666666666666666,0.0,0,False,False,True
0,3,1,28.0,1,1,1,7.8958,0.0,0,False,True,False
0,2,1,43.0,3,0,3,8.75,0.0,0,False,True,False
1,3,0,26.0,1,1,1,7.8542,0.0,0,True,False,False
1,2,0,24.0,2,0,2,13.0,0.0,0,False,False,True
0,2,1,54.0,1,1,1,14.0,0.0,0,False,False,False
1,1,0,31.0,3,0,2,54.95556666666667,3.0,1,True,False,False
1,1,0,40.0,3,0,2,44.833333333333336,5.0,1,False,False,True
0,3,1,22.0,1,1,1,7.25,0.0,0,False,True,False
0,3,1,27.0,1,1,1,7.8958,0.0,0,False,True,False
1,2,0,30.0,1,1,1,12.35,0.0,0,True,False,False
1,2,0,22.0,3,0,2,9.666666666666666,0.0,0,False,False,True
0,3,1,28.0,11,0,7,6.322727272727272,0.0,0,False,True,False
1,1,0,36.0,1,1,3,135.6333,3.0,1,True,False,False
0,3,1,61.0,1,1,1,6.2375,0.0,0,False,True,False
1,2,0,36.0,1,1,1,13.0,4.0,1,False,False,True
1,3,0,31.0,3,0,3,6.841666666666666,0.0,0,False,False,True
1,1,0,16.0,2,0,2,28.9896,2.0,1,True,False,False
1,3,0,28.0,3,0,2,7.75,0.0,0,True,False,False
0,1,1,45.5,1,1,1,28.5,3.0,1,False,True,False
0,1,1,38.0,2,0,3,76.73125,3.0,1,False,True,False
0,3,1,16.0,3,0,2,6.0,0.0,0,False,True,False
1,1,0,28.0,2,0,2,66.825,0.0,0,False,False,True
0,3,1,28.0,1,1,1,7.8958,0.0,0,False,True,False
0,1,1,29.0,2,0,2,33.3,3.0,1,False,True,False
1,1,0,41.0,1,1,2,134.5,5.0,1,True,False,False
1,3,1,45.0,1,1,1,8.05,0.0,0,False,True,False
0,1,1,45.0,1,1,1,35.5,0.0,1,False,True,False
1,2,1,2.0,3,0,3,8.666666666666666,6.0,1,False,False,False
1,1,0,24.0,6,0,4,43.833333333333336,3.0,1,True,False,False
0,2,1,28.0,1,1,1,13.0,0.0,0,False,True,False
0,2,1,25.0,1,1,1,13.0,0.0,0,False,True,False
0,2,1,36.0,1,1,1,13.0,0.0,0,False,True,False
1,2,0,24.0,1,1,1,13.0,6.0,1,True,False,False
1,2,0,40.0,1,1,1,13.0,0.0,0,True,False,False
1,3,0,28.0,2,0,1,8.05,0.0,0,False,False,True
1,3,1,3.0,3,0,2,5.3,0.0,0,False,False,False
0,3,1,42.0,1,1,1,8.6625,0.0,0,False,True,False
0,3,1,23.0,1,1,1,9.225,0.0,0,False,True,False
0,1,1,28.0,1,1,1,35.0,3.0,1,False,True,False
0,3,1,15.0,3,0,1,2.409733333333333,0.0,0,False,True,False
0,3,1,25.0,2,0,2,8.9,0.0,0,False,True,False
0,3,1,28.0,1,1,1,7.225,0.0,0,False,True,False
0,3,1,28.0,1,1,1,9.5,0.0,0,False,True,False
1,1,0,22.0,2,0,2,27.5,5.0,1,True,False,False
0,2,0,38.0,1,1,1,13.0,0.0,0,True,False,False
1,3,0,28.0,1,1,1,7.8792,0.0,0,True,False,False
1,3,0,28.0,1,1,1,7.8792,0.0,0,True,False,False
0,3,1,40.0,6,0,6,4.65,0.0,0,False,True,False
0,2,1,29.0,2,0,1,13.8604,0.0,0,False,True,False
0,3,0,45.0,2,0,2,7.2271,0.0,0,False,False,True
0,3,1,35.0,1,1,1,7.05,0.0,0,False,True,False
0,3,1,28.0,2,0,2,7.75,0.0,0,False,True,False
0,3,1,30.0,1,1,1,7.25,0.0,0,False,True,False
1,1,0,60.0,2,0,1,37.625,4.0,1,False,False,True
1,3,0,28.0,1,1,1,7.2292,0.0,0,False,False,True
1,3,0,28.0,1,1,1,7.75,0.0,0,True,False,False
1,1,0,24.0,1,1,2,69.3,2.0,1,False,False,False
1,1,1,25.0,2,0,1,27.72085,5.0,1,False,True,False
0,3,1,18.0,2,0,1,3.2479,0.0,0,False,True,False
0,3,1,19.0,1,1,1,8.05,0.0,0,False,True,False
0,1,1,22.0,1,1,3,135.6333,0.0,0,False,True,False
0,3,0,3.0,5,0,4,4.215,0.0,0,True,False,False
1,1,0,28.0,2,0,2,41.0854,0.0,0,False,False,True
1,3,0,22.0,1,1,1,7.25,0.0,0,True,False,False
0,1,1,27.0,3,0,1,70.5,3.0,1,False,True,False
0,3,1,20.0,1,1,1,4.0125,0.0,0,False,True,False
0,3,1,19.0,1,1,1,7.775,0.0,0,False,True,False
1,1,0,42.0,1,1,4,227.525,0.0,0,True,False,False
1,3,0,1.0,3,0,2,5.247233333333333,0.0,0,True,False,False
0,3,1,32.0,1,1,1,7.925,0.0,0,False,True,False
1,1,0,35.0,2,0,2,26.0,0.0,0,False,False,True
0,3,1,28.0,1,1,1,7.8958,0.0,0,False,True,False
0,2,1,18.0,1,1,5,73.5,0.0,0,False,True,False
0,3,1,1.0,8,0,6,5.8625,0.0,0,False,False,False
1,2,0,36.0,1,1,1,13.0,0.0,0,True,False,False
0,3,1,28.0,1,1,1,7.7292,0.0,0,False,True,False
1,2,0,17.0,1,1,1,12.0,0.0,0,True,False,False
1,1,1,36.0,4,0,4,30.0,2.0,1,False,True,False
1,3,1,21.0,1,1,1,7.7958,0.0,0,False,True,False
0,3,1,28.0,3,0,1,2.6416666666666666,0.0,0,False,True,False
1,1,0,23.0,2,0,3,56.6375,4.0,1,True,False,False
1,3,0,24.0,3,0,2,5.566666666666666,0.0,1,False,False,True
0,3,1,22.0,1,1,1,7.7958,0.0,0,False,True,False
0,3,0,31.0,1,1,1,7.8542,0.0,0,True,False,False
0,2,1,46.0,1,1,2,26.0,0.0,0,False,True,False
0,2,1,23.0,1,1,1,10.5,0.0,0,False,False,False
1,2,0,28.0,1,1,1,12.65,0.0,0,False,False,True
1,3,1,39.0,1,1,1,7.925,0.0,0,False,True,False
0,3,1,26.0,1,1,1,8.05,0.0,0,False,True,False
0,3,0,21.0,2,0,1,4.9125,0.0,0,True,False,False
0,3,1,28.0,2,0,2,7.925,0.0,0,False,True,False
0,3,0,20.0,1,1,1,8.6625,0.0,0,True,False,False
0,2,1,34.0,2,0,1,10.5,0.0,0,False,True,False
0,3,1,51.0,1,1,1,7.75,0.0,0,False,True,False
1,2,1,3.0,3,0,3,6.25,0.0,0,False,False,False
0,3,1,21.0,1,1,1,7.775,0.0,0,False,True,False
0,3,0,28.0,5,0,4,5.09334,0.0,0,True,False,False
0,3,1,28.0,1,1,1,7.8958,0.0,0,False,True,False
0,3,1,28.0,1,1,1,6.8583,0.0,0,False,True,False
1,1,0,33.0,2,0,2,45.0,3.0,1,True,False,False
0,2,1,28.0,1,1,3,0.0,0.0,0,False,True,False
1,3,1,44.0,1,1,1,7.925,0.0,0,False,True,False
0,3,0,28.0,1,1,1,8.05,0.0,0,False,False,True
1,2,0,34.0,3,0,1,10.833333333333334,0.0,0,False,False,True
1,2,0,18.0,3,0,1,4.333333333333333,0.0,0,True,False,False
0,2,1,30.0,1,1,1,13.0,0.0,0,False,True,False
0,3,0,10.0,3,0,3,8.049999999999999,0.0,0,True,False,False
0,3,1,28.0,1,1,1,7.8958,0.0,0,False,True,False
