PassengerId,Survived,Pclass,Sex,Age,SibSp,Parch,FamilySize,IsAlone,TicketGroupSize,Fare,FarePerPerson,FarePerTicketPerson,Cabin,Deck,has_cabin,Title_Master,Title_Miss,Title_Mr,Title_Mrs,Title_Other,Embarked_C,Embarked_Q,Embarked_S
98,1,1,1,23.0,0,1,2,0,1,63.3583,31.67915,63.3583,D10 D12,4.0,1,False,False,True,False,False,True,False,False
99,1,2,0,34.0,0,1,2,0,2,23.0,11.5,11.5,,0.0,0,False,False,False,True,False,False,False,True
100,0,2,1,34.0,1,0,2,0,2,26.0,13.0,13.0,,0.0,0,False,False,True,False,False,False,False,True
101,0,3,0,28.0,0,0,1,1,1,7.8958,7.8958,7.8958,,0.0,0,False,True,False,False,False,False,False,True
102,0,3,1,28.0,0,0,1,1,1,7.8958,7.8958,7.8958,,0.0,0,False,False,True,False,False,False,False,True
103,0,1,1,21.0,0,1,2,0,2,77.2875,38.64375,38.64375,D26,4.0,1,False,False,True,False,False,False,False,True
104,0,3,1,33.0,0,0,1,1,1,8.6542,8.6542,8.6542,,0.0,0,False,False,True,False,False,False,False,True
105,0,3,1,37.0,2,0,3,0,1,7.925,2.6416666666666666,7.925,,0.0,0,False,False,True,False,False,False,False,True
106,0,3,1,28.0,0,0,1,1,1,7.8958,7.8958,7.8958,,0.0,0,False,False,True,False,False,False,False,True
107,1,3,0,21.0,0,0,1,1,1,7.65,7.65,7.65,,0.0,0,False,True,False,False,False,False,False,True
108,1,3,1,28.0,0,0,1,1,1,7.775,7.775,7.775,,0.0,0,False,False,True,False,False,False,False,True
109,0,3,1,38.0,0,0,1,1,1,7.8958,7.8958,7.8958,,0.0,0,False,False,True,False,False,False,False,True
110,1,3,0,28.0,1,0,2,0,3,24.15,12.075,8.049999999999999,,0.0,0,False,True,False,False,False,False,True,False
111,0,1,1,47.0,0,0,1,1,2,52.0,52.0,26.0,C110,3.0,1,False,False,True,False,False,False,False,True
112,0,3,0,14.5,1,0,2,0,2,14.4542,7.2271,7.2271,,0.0,0,False,True,False,False,False,True,False,False
113,0,3,1,22.0,0,0,1,1,1,8.05,8.05,8.05,,0.0,0,False,False,True,False,False,False,False,True
114,0,3,0,20.0,1,0,2,0,1,9.825,4.9125,9.825,,0.0,0,False,True,False,False,False,False,False,True
115,0,3,0,17.0,0,0,1,1,2,14.4583,14.4583,7.22915,,0.0,0,False,True,False,False,False,True,False,False
116,0,3,1,21.0,0,0,1,1,1,7.925,7.925,7.925,,0.0,0,False,False,True,False,False,False,False,True
117,0,3,1,70.5,0,0,1,1,1,7.75,7.75,7.75,,0.0,0,False,False,True,False,False,False,True,False
118,0,2,1,29.0,1,0,2,0,2,21.0,10.5,10.5,,0.0,0,False,False,True,False,False,False,False,True
119,0,1,1,24.0,0,1,2,0,2,247.5208,123.7604,123.7604,B58 B60,2.0,1,False,False,True,False,False,True,False,False
120,0,3,0,2.0,4,2,7,0,7,31.275,4.4678571428571425,4.4678571428571425,,0.0,0,False,True,False,False,False,False,False,True
121,0,2,1,21.0,2,0,3,0,5,73.5,24.5,14.7,,0.0,0,False,False,True,False,False,False,False,True
122,0,3,1,28.0,0,0,1,1,1,8.05,8.05,8.05,,0.0,0,False,False,True,False,False,False,False,True
123,0,2,1,32.5,1,0,2,0,2,30.0708,15.0354,15.0354,,0.0,0,False,False,True,False,False,True,False,False
124,1,2,0,32.5,0,0,1,1,1,13.0,13.0,13.0,E101,5.0,1,False,True,False,False,False,False,False,True
125,0,1,1,54.0,0,1,2,0,2,77.2875,38.64375,38.64375,D26,4.0,1,False,False,True,False,False,False,False,True
126,1,3,1,12.0,1,0,2,0,2,11.2417,5.62085,5.62085,,0.0,0,True,False,False,False,False,True,False,False
127,0,3,1,28.0,0,0,1,1,1,7.75,7.75,7.75,,0.0,0,False,False,True,False,False,False,True,False
128,1,3,1,24.0,0,0,1,1,1,7.1417,7.1417,7.1417,,0.0,0,False,False,True,False,False,False,False,True
129,1,3,0,28.0,1,1,3,0,2,22.3583,7.452766666666666,11.17915,F E69,6.0,1,False,True,False,False,False,True,False,False
130,0,3,1,45.0,0,0,1,1,1,6.975,6.975,6.975,,0.0,0,False,False,True,False,False,False,False,True
131,0,3,1,33.0,0,0,1,1,1,7.8958,7.8958,7.8958,,0.0,0,False,False,True,False,False,True,False,False
132,0,3,1,20.0,0,0,1,1,1,7.05,7.05,7.05,,0.0,0,False,False,True,False,False,False,False,True
133,0,3,0,47.0,1,0,2,0,1,14.5,7.25,14.5,,0.0,0,False,False,False,True,False,False,False,True
134,1,2,0,29.0,1,0,2,0,1,26.0,13.0,26.0,,0.0,0,False,False,False,True,False,False,False,True
135,0,2,1,25.0,0,0,1,1,1,13.0,13.0,13.0,,0.0,0,False,False,True,False,False,False,False,True
136,0,2,1,23.0,0,0,1,1,1,15.0458,15.0458,15.0458,,0.0,0,False,False,True,False,False,True,False,False
137,1,1,0,19.0,0,2,3,0,1,26.2833,8.7611,26.2833,D47,4.0,1,False,True,False,False,False,False,False,True
138,0,1,1,37.0,1,0,2,0,2,53.1,26.55,26.55,C123,3.0,1,False,False,True,False,False,False,False,True
139,0,3,1,16.0,0,0,1,1,2,9.2167,9.2167,4.60835,,0.0,0,False,False,True,False,False,False,False,True
140,0,1,1,24.0,0,0,1,1,2,79.2,79.2,39.6,B86,2.0,1,False,False,True,False,False,True,False,False
141,0,3,0,28.0,0,2,3,0,2,15.2458,5.081933333333333,7.6229,,0.0,0,False,False,False,True,False,True,False,False
142,1,3,0,22.0,0,0,1,1,1,7.75,7.75,7.75,,0.0,0,False,True,False,False,False,False,False,True
143,1,3,0,24.0,1,0,2,0,2,15.85,7.925,7.925,,0.0,0,False,False,False,True,False,False,False,True
144,0,3,1,19.0,0,0,1,1,1,6.75,6.75,6.75,,0.0,0,False,False,True,False,False,False,True,False
145,0,2,1,18.0,0,0,1,1,1,11.5,11.5,11.5,,0.0,0,False,False,True,False,False,False,False,True
146,0,2,1,19.0,1,1,3,0,2,36.75,12.25,18.375,,0.0,0,False,False,True,False,False,False,False,True
147,1,3,1,27.0,0,0,1,1,1,7.7958,7.7958,7.7958,,0.0,0,False,False,True,False,False,False,False,True
148,0,3,0,9.0,2,2,5,0,4,34.375,6.875,8.59375,,0.0,0,False,True,False,False,False,False,False,True
149,0,2,1,36.5,0,2,3,0,3,26.0,8.666666666666666,8.666666666666666,F2,6.0,1,False,False,True,False,False,False,False,True
150,0,2,1,42.0,0,0,1,1,1,13.0,13.0,13.0,,0.0,0,False,False,False,False,True,False,False,True
151,0,2,1,51.0,0,0,1,1,1,12.525,12.525,12.525,,0.0,0,False,False,False,False,True,False,False,True
152,1,1,0,22.0,1,0,2,0,2,66.6,33.3,33.3,C2,3.0,1,False,False,False,True,False,False,False,True
153,0,3,1,55.5,0,0,1,1,1,8.05,8.05,8.05,,0.0,0,False,False,True,False,False,False,False,True
154,0,3,1,40.5,0,2,3,0,1,14.5,4.833333333333333,14.5,,0.0,0,False,False,True,False,False,False,False,True
155,0,3,1,28.0,0,0,1,1,1,7.3125,7.3125,7.3125,,0.0,0,False,False,True,False,False,False,False,True
156,0,1,1,51.0,0,1,2,0,1,61.3792,30.6896,61.3792,,0.0,0,False,False,True,False,False,True,False,False
157,1,3,0,16.0,0,0,1,1,1,7.7333,7.7333,7.7333,,0.0,0,False,True,False,False,False,False,True,False
158,0,3,1,30.0,0,0,1,1,1,8.05,8.05,8.05,,0.0,0,False,False,True,False,False,False,False,True
159,0,3,1,28.0,0,0,1,1,1,8.6625,8.6625,8.6625,,0.0,0,False,False,True,False,False,False,False,True
160,0,3,1,28.0,8,2,11,0,7,69.55,6.322727272727272,9.935714285714285,,0.0,0,True,False,False,False,False,False,False,True
161,0,3,1,44.0,0,1,2,0,1,16.1,8.05,16.1,,0.0,0,False,False,True,False,False,False,False,True
162,1,2,0,40.0,0,0,1,1,1,15.75,15.75,15.75,,0.0,0,False,False,False,True,False,False,False,True
163,0,3,1,26.0,0,0,1,1,1,7.775,7.775,7.775,,0.0,0,False,False,True,False,False,False,False,True
164,0,3,1,17.0,0,0,1,1,1,8.6625,8.6625,8.6625,,0.0,0,False,False,True,False,False,False,False,True
165,0,3,1,1.0,4,1,6,0,6,39.6875,6.614583333333333,6.614583333333333,,0.0,0,True,False,False,False,False,False,False,True
166,1,3,1,9.0,0,2,3,0,3,20.525,6.841666666666666,6.841666666666666,,0.0,0,True,False,False,False,False,False,False,True
167,1,1,0,28.0,0,1,2,0,2,55.0,27.5,27.5,E33,5.0,1,False,False,False,True,False,False,False,True
168,0,3,0,45.0,1,4,6,0,6,27.9,4.6499999999999995,4.6499999999999995,,0.0,0,False,False,False,True,False,False,False,True
169,0,1,1,28.0,0,0,1,1,1,25.925,25.925,25.925,,0.0,0,False,False,True,False,False,False,False,True
170,0,3,1,28.0,0,0,1,1,7,56.4958,56.4958,8.070828571428573,,0.0,0,False,False,True,False,False,False,False,True
171,0,1,1,61.0,0,0,1,1,1,33.5,33.5,33.5,B19,2.0,1,False,False,True,False,False,False,False,True
172,0,3,1,4.0,4,1,6,0,5,29.125,4.854166666666667,5.825,,0.0,0,True,False,False,False,False,False,True,False
173,1,3,0,1.0,1,1,3,0,3,11.1333,3.7111,3.7111,,0.0,0,False,True,False,False,False,False,False,True
174,0,3,1,21.0,0,0,1,1,1,7.925,7.925,7.925,,0.0,0,False,False,True,False,False,False,False,True
175,0,1,1,56.0,0,0,1,1,1,30.6958,30.6958,30.6958,A7,1.0,1,False,False,True,False,False,True,False,False
176,0,3,1,18.0,1,1,3,0,1,7.8542,2.6180666666666665,7.8542,,0.0,0,False,False,True,False,False,False,False,True
177,0,3,1,28.0,3,1,5,0,4,25.4667,5.0933399999999995,6.366675,,0.0,0,True,False,False,False,False,False,False,True
178,0,1,0,50.0,0,0,1,1,1,28.7125,28.7125,28.7125,C49,3.0,1,False,True,False,False,False,True,False,False
179,0,2,1,30.0,0,0,1,1,1,13.0,13.0,13.0,,0.0,0,False,False,True,False,False,False,False,True
180,0,3,1,36.0,0,0,1,1,4,0.0,0.0,0.0,,0.0,0,False,False,True,False,False,False,False,True
181,0,3,0,28.0,8,2,11,0,7,69.55,6.322727272727272,9.935714285714285,,0.0,0,False,True,False,False,False,False,False,True
182,0,2,1,28.0,0,0,1,1,1,15.05,15.05,15.05,,0.0,0,False,False,True,False,False,True,False,False
183,0,3,1,9.0,4,2,7,0,4,31.3875,4.483928571428572,7.846875,,0.0,0,True,False,False,False,False,False,False,True
184,1,2,1,1.0,2,1,4,0,2,39.0,9.75,19.5,F4,6.0,1,True,False,False,False,False,False,False,True
185,1,3,0,4.0,0,2,3,0,1,22.025,7.341666666666666,22.025,,0.0,0,False,True,False,False,False,False,False,True
186,0,1,1,28.0,0,0,1,1,1,50.0,50.0,50.0,A32,1.0,1,False,False,True,False,False,False,False,True
187,1,3,0,28.0,1,0,2,0,2,15.5,7.75,7.75,,0.0,0,False,False,False,True,False,False,True,False
188,1,1,1,45.0,0,0,1,1,1,26.55,26.55,26.55,,0.0,0,False,False,True,False,False,False,False,True
189,0,3,1,40.0,1,1,3,0,2,15.5,5.166666666666667,7.75,,0.0,0,False,False,True,False,False,False,True,False
190,0,3,1,36.0,0,0,1,1,1,7.8958,7.8958,7.8958,,0.0,0,False,False,True,False,False,False,False,True
191,1,2,0,32.0,0,0,1,1,1,13.0,13.0,13.0,,0.0,0,False,False,False,True,False,False,False,True
192,0,2,1,19.0,0,0,1,1,1,13.0,13.0,13.0,,0.0,0,False,False,True,False,False,False,False,True
193,1,3,0,19.0,1,0,2,0,1,7.8542,3.9271,7.8542,,0.0,0,False,True,False,False,False,False,False,True
194,1,2,1,3.0,1,1,3,0,3,26.0,8.666666666666666,8.666666666666666,F2,6.0,1,True,False,False,False,False,False,False,True
195,1,1,0,44.0,0,0,1,1,1,27.7208,27.7208,27.7208,B4,2.0,1,False,False,False,True,False,True,False,False
196,1,1,0,58.0,0,0,1,1,2,146.5208,146.5208,73.2604,B80,2.0,1,False,True,False,False,False,True,False,False
197,0,3,1,28.0,0,0,1,1,1,7.75,7.75,7.75,,0.0,0,False,False,True,False,False,False,True,False
198,0,3,1,42.0,0,1,2,0,1,8.4042,4.2021,8.4042,,0.0,0,False,False,True,False,False,False,False,True
199,1,3,0,28.0,0,0,1,1,1,7.75,7.75,7.75,,0.0,0,False,True,False,False,False,False,True,False
200,0,2,0,24.0,0,0,1,1,1,13.0,13.0,13.0,,0.0,0,False,True,False,False,False,False,False,True
201,0,3,1,28.0,0,0,1,1,1,9.5,9.5,9.5,,0.0,0,False,False,True,False,False,False,False,True
202,0,3,1,28.0,8,2,11,0,7,69.55,6.322727272727272,9.935714285714285,,0.0,0,False,False,True,False,False,False,False,True
203,0,3,1,34.0,0,0,1,1,1,6.4958,6.4958,6.4958,,0.0,0,False,False,True,False,False,False,False,True
204,0,3,1,45.5,0,0,1,1,1,7.225,7.225,7.225,,0.0,0,False,False,True,False,False,True,False,False
205,1,3,1,18.0,0,0,1,1,1,8.05,8.05,8.05,,0.0,0,False,False,True,False,False,False,False,True
206,0,3,0,2.0,0,1,2,0,2,10.4625,5.23125,5.23125,G6,0.0,1,False,True,False,False,False,False,False,True
207,0,3,1,32.0,1,0,2,0,2,15.85,7.925,7.925,,0.0,0,False,False,True,False,False,False,False,True
208,1,3,1,26.0,0,0,1,1,2,18.7875,18.7875,9.39375,,0.0,0,False,False,True,False,False,True,False,False
209,1,3,0,16.0,0,0,1,1,1,7.75,7.75,7.75,,0.0,0,False,True,False,False,False,False,True,False
210,1,1,1,40.0,0,0,1,1,1,31.0,31.0,31.0,A31,1.0,1,False,False,True,False,False,True,False,False
211,0,3,1,24.0,0,0,1,1,1,7.05,7.05,7.05,,0.0,0,False,False,True,False,False,False,False,True
212,1,2,0,35.0,0,0,1,1,1,21.0,21.0,21.0,,0.0,0,False,True,False,False,False,False,False,True
213,0,3,1,22.0,0,0,1,1,1,7.25,7.25,7.25,,0.0,0,False,False,True,False,False,False,False,True
214,0,2,1,30.0,0,0,1,1,1,13.0,13.0,13.0,,0.0,0,False,False,True,False,False,False,False,True
215,0,3,1,28.0,1,0,2,0,1,7.75,3.875,7.75,,0.0,0,False,False,True,False,False,False,True,False
216,1,1,0,31.0,1,0,2,0,3,113.275,56.6375,37.75833333333333,D36,4.0,1,False,True,False,False,False,True,False,False
217,1,3,0,27.0,0,0,1,1,1,7.925,7.925,7.925,,0.0,0,False,True,False,False,False,False,False,True
218,0,2,1,42.0,1,0,2,0,2,27.0,13.5,13.5,,0.0,0,False,False,True,False,False,False,False,True
219,1,1,0,32.0,0,0,1,1,1,76.2917,76.2917,76.2917,D15,4.0,1,False,True,False,False,False,True,False,False
220,0,2,1,30.0,0,0,1,1,1,10.5,10.5,10.5,,0.0,0,False,False,True,False,False,False,False,True
221,1,3,1,16.0,0,0,1,1,1,8.05,8.05,8.05,,0.0,0,False,False,True,False,False,False,False,True
222,0,2,1,27.0,0,0,1,1,1,13.0,13.0,13.0,,0.0,0,False,False,True,False,False,False,False,True
223,0,3,1,51.0,0,0,1,1,1,8.05,8.05,8.05,,0.0,0,False,False,True,False,False,False,False,True
224,0,3,1,28.0,0,0,1,1,1,7.8958,7.8958,7.8958,,0.0,0,False,False,True,False,False,False,False,True
225,1,1,1,38.0,1,0,2,0,2,90.0,45.0,45.0,C93,3.0,1,False,False,True,False,False,False,False,True
226,0,3,1,22.0,0,0,1,1,1,9.35,9.35,9.35,,0.0,0,False,False,True,False,False,False,False,True
227,1,2,1,19.0,0,0,1,1,1,10.5,10.5,10.5,,0.0,0,False,False,True,False,False,False,False,True
228,0,3,1,20.5,0,0,1,1,1,7.25,7.25,7.25,,0.0,0,False,False,True,False,False,False,False,True
229,0,2,1,18.0,0,0,1,1,1,13.0,13.0,13.0,,0.0,0,False,False,True,False,False,False,False,True
230,0,3,0,28.0,3,1,5,0,4,25.4667,5.0933399999999995,6.366675,,0.0,0,False,True,False,False,False,False,False,True
